image_name,suggested_crime_type,confidence,blood,gun,knife,shell_casing,fingerprint,gloves
blood_101.jpg,vandalism,0.5,0,0,0,0,0,0
blood_102.jpg,vandalism,0.5,0,0,0,0,0,0
blood_103.jpg,vandalism,0.5,0,0,0,0,0,0
blood_104.jpg,vandalism,0.5,0,0,0,0,0,0
blood_105.jpg,vandalism,0.5,0,0,0,0,0,0
blood_106.jpg,vandalism,0.5,0,0,0,0,0,0
blood_107.jpg,vandalism,0.5,0,0,0,0,0,0
blood_108.jpg,vandalism,0.5,0,0,0,0,0,0
blood_109.jpg,vandalism,0.5,0,0,0,0,0,0
blood_110.jpg,vandalism,0.5,0,0,0,0,0,0
blood_111.jpg,vandalism,0.5,0,0,0,0,0,0
blood_112.jpg,vandalism,0.5,0,0,0,0,0,0
blood_113.jpg,vandalism,0.5,0,0,0,0,0,0
blood_114.jpg,vandalism,0.5,0,0,0,0,0,0
blood_115.jpg,vandalism,0.5,0,0,0,0,0,0
blood_116.jpg,vandalism,0.5,0,0,0,0,0,0
blood_117.jpg,vandalism,0.5,0,0,0,0,0,0
blood_118.jpg,assault,0.65,1,0,0,0,0,0
blood_119.jpg,armed_robbery,0.75,0,1,0,0,0,0
blood_120.jpg,vandalism,0.5,0,0,0,0,0,0
blood_121.jpg,vandalism,0.5,0,0,0,0,0,0
blood_122.jpg,vandalism,0.5,0,0,0,0,0,0
blood_123.jpg,vandalism,0.5,0,0,0,0,0,0
blood_124.jpg,vandalism,0.5,0,0,0,0,0,0
blood_125.jpg,vandalism,0.5,0,0,0,0,0,0
blood_126.jpg,vandalism,0.5,0,0,0,0,0,0
blood_127.jpg,vandalism,0.5,0,0,0,0,0,0
blood_128.jpg,armed_robbery,0.75,0,0,1,0,0,0
blood_129.jpg,vandalism,0.5,0,0,0,0,0,0
blood_130.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_051.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_052.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_053.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_054.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_055.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_056.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_057.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_058.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_059.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_060.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_061.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_062.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_063.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_064.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_065.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_066.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_067.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_068.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_069.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_070.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_071.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_072.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_073.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_074.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_075.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_076.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_077.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_078.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_079.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_080.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_081.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_082.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_083.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_084.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_085.jpg,vandalism,0.5,0,0,0,0,0,0
bullet_hole_086.jpg,vandalism,0.5,0,0,0,0,0,0
